listingID,address,type,rent price per week,utilities,accessibility,availability,urgentability,special consideration
PER001,15 Kings Park Road Crawley,whole property,450,water electricity internet,all people,01/09/2025-28/02/2026,No,Pet friendly - small dogs welcome
PER002,22 Beaufort Street Northbridge,shared house,180,water electricity,men women,15/09/2025-15/12/2025,Yes,Close to public transport
PER003,8 Hay Street West Perth,studio,280,electricity internet,all people,01/10/2025-31/03/2026,No,Furnished apartment
PER004,45 Murray Street Perth,student accommodation,200,water internet,women,01/02/2026-30/11/2026,No,University students only
PER005,33 Riverside Drive East Perth,whole property,520,water electricity internet,couple,10/09/2025-10/09/2026,Yes,Riverfront views
PER006,12 Oxford Street Leederville,shared house,160,water,men,01/11/2025-28/02/2026,No,Shared kitchen facilities
PER007,67 Stirling Highway Nedlands,homestay,220,water electricity internet,women,15/09/2025-15/06/2026,No,Host family with children
PER008,89 William Street Northbridge,studio,250,electricity,all people,01/10/2025-31/01/2026,Yes,CBD location
PER009,34 Wellington Street East Perth,whole property,480,water electricity,couple,20/09/2025-20/03/2026,No,Two bedroom apartment
PER010,56 Charles Street North Perth,shared house,175,internet,men women,01/12/2025-30/06/2026,No,Garden access
PER011,78 Albany Highway Victoria Park,student accommodation,190,water electricity internet,all people,01/02/2026-30/11/2026,Yes,Near Curtin University
PER012,23 Bennett Street East Perth,homestay,240,water electricity internet,women,01/10/2025-31/12/2025,No,Single room with private bathroom
PER013,91 Railway Parade West Leederville,whole property,380,water electricity,men women,15/10/2025-15/04/2026,No,Recently renovated
PER014,17 Fitzgerald Street Northbridge,studio,260,electricity internet,all people,01/11/2025-28/02/2026,Yes,Short term lease available
PER015,42 Lake Street Northbridge,shared house,155,water,men,10/10/2025-10/01/2026,No,Close to entertainment district
PER016,65 Alexander Drive Dianella,whole property,420,water electricity internet,couple,01/09/2025-31/08/2026,No,Family home with yard
PER017,88 Canning Highway South Perth,homestay,260,water electricity internet,all people,15/09/2025-15/03/2026,Yes,River views
PER018,29 Barrack Street Perth,student accommodation,210,water internet,women,01/02/2026-30/11/2026,No,City center location
PER019,53 Great Eastern Highway Midland,shared house,140,electricity,men women,01/11/2025-30/04/2026,No,Large backyard
PER020,76 Wanneroo Road Tuart Hill,whole property,340,water electricity,all people,20/09/2025-20/06/2026,Yes,Three bedroom house
PER021,14 Scarborough Beach Road Mount Hawthorn,studio,270,water electricity internet,women,01/10/2025-31/03/2026,No,Near beach access
PER022,37 Mounts Bay Road Perth,homestay,280,water electricity internet,couple,15/10/2025-15/07/2026,No,City skyline views
PER023,59 Guildford Road Mount Lawley,shared house,165,water electricity,men,01/12/2025-31/05/2026,Yes,Artistic neighborhood
PER024,81 Rokeby Road Subiaco,whole property,490,water electricity internet,all people,01/09/2025-01/09/2026,No,Modern townhouse
PER025,26 Roe Street Northbridge,student accommodation,195,internet,women,01/02/2026-30/11/2026,No,International students welcome
PER026,48 Newcastle Street Perth,studio,290,water electricity,men women,10/09/2025-10/12/2025,Yes,Fully furnished
PER027,70 Cambridge Street West Leederville,shared house,170,electricity internet,all people,01/11/2025-28/02/2026,No,Shared living areas
PER028,92 South Terrace Fremantle,homestay,250,water electricity internet,couple,15/09/2025-15/12/2025,Yes,Historic port area
PER029,18 Hampden Road Nedlands,whole property,460,water electricity internet,men women,01/10/2025-30/09/2026,No,Near UWA campus
PER030,41 Leach Highway Riverton,shared house,150,water,women,20/10/2025-20/01/2026,No,Quiet residential area
PER031,63 Manning Road Como,studio,240,electricity internet,all people,01/11/2025-31/03/2026,Yes,Riverside location
PER032,85 Canning Bridge Road Applecross,homestay,270,water electricity internet,men,15/10/2025-15/05/2026,No,Family environment
PER033,27 Vincent Street Leederville,whole property,410,water electricity,couple,01/09/2025-28/02/2026,No,Art deco building
PER034,49 Robinson Avenue Belmont,shared house,160,water internet,men women,10/11/2025-10/04/2026,Yes,Close to airport
PER035,71 Whatley Crescent Bayswater,student accommodation,185,water electricity internet,all people,01/02/2026-30/11/2026,No,Student hub area
PER036,93 Albany Highway Cannington,studio,220,electricity,women,01/12/2025-31/05/2026,No,Shopping center nearby
PER037,19 Mill Point Road South Perth,homestay,290,water electricity internet,couple,15/09/2025-15/06/2026,Yes,Zoo and city views
PER038,43 Grand Promenade Bedford,whole property,390,water electricity internet,all people,01/10/2025-01/07/2026,No,Family friendly suburb
PER039,65 Walter Road Morley,shared house,145,water electricity,men,20/09/2025-20/12/2025,No,Industrial area nearby
PER040,87 Tonkin Highway Bayswater,studio,210,internet,men women,01/11/2025-28/02/2026,Yes,Highway access
PER041,31 Beach Road Watermans Bay,homestay,320,water electricity internet,all people,15/10/2025-15/01/2026,No,Beachfront location
PER042,52 Karrinyup Road Karrinyup,whole property,440,water electricity,couple,01/09/2025-31/08/2026,No,Shopping mall nearby
PER043,74 Main Street Osborne Park,shared house,170,electricity internet,women,10/11/2025-10/05/2026,Yes,Industrial precinct
PER044,96 Great Northern Highway Middle Swan,student accommodation,175,water internet,men women,01/02/2026-30/11/2026,No,Rural setting
PER045,21 Preston Street Como,studio,260,water electricity,all people,01/12/2025-30/04/2026,No,Quiet street
PER046,44 Stock Road Palmyra,homestay,230,water electricity internet,men,15/11/2025-15/02/2026,Yes,Family with teenagers
PER047,66 Leila Road Coolbellup,whole property,350,water electricity internet,couple,20/09/2025-20/03/2026,No,Affordable housing area
PER048,88 Ranford Road Harrisdale,shared house,155,water,women,01/10/2025-31/01/2026,No,New development area
PER049,32 Abernethy Road Belmont,studio,235,electricity internet,men women,15/10/2025-15/04/2026,Yes,Close to Belmont Forum
PER050,54 Great Western Highway Mundaring,homestay,200,water electricity internet,all people,01/11/2025-30/06/2026,No,Hills location with views
PER051,76 Brookton Highway Kelmscott,whole property,320,water electricity,men,10/10/2025-10/07/2026,No,Outer suburb location
PER052,98 Orrong Road Rivervale,shared house,165,internet,couple,01/12/2025-28/02/2026,Yes,Close to Optus Stadium
PER053,25 Welshpool Road East Welshpool,student accommodation,180,water electricity internet,women,01/02/2026-30/11/2026,No,Industrial area
